PaymentId,CustomerId,TripAmount,TransactionId,TransactionTime,Status
f8302f52-7e68-4efe-b5ea-a4e76f068597,9302759c-3ca5-4e5c-9140-9550edd528a5,12.56,txn_PgRp32e4TN3MoiPl,2021-02-28 17:33:47,Successful
8a55d14c-d757-4894-bcd3-a08bdeb3afdf,e2835781-19c7-4209-b832-9345ca9a659a,16.71,txn_DZf54zYAQqqcKazi,2022-10-13 05:36:18,Successful
6ce096ab-0a52-4be9-a729-3ad6a79c5212,20f7dab3-6b04-4758-aa3a-7ae7e5649133,8.14,txn_FD8iuE2v52vcOrYm,2023-03-08 14:20:21,Successful
8fa3785a-7062-4e20-b83c-9e6e697cb8bf,a8c7dbbc-51aa-48ea-b5f4-c904c7bea2aa,13.04,txn_8uA2QdsipgZJCPSg,2021-08-30 15:59:09,Successful
53eb928d-cfb0-45fb-b4ae-f84dc0191485,3a679920-398a-41c2-af64-d5d8114dec7a,8.29,txn_BICKg8nGaygpp7ff,2022-08-19 04:15:52,Successful
448e5579-003e-4cca-8b20-91323a31e76e,6da82b4f-d14e-443d-b0aa-6d36a177f3f9,8.61,txn_3NSeyEeFTqoLzjVp,2022-01-01 10:11:49,Successful
23106dd2-8a2e-450c-ba32-b51ab0a36256,4528ac86-6906-418b-acac-70890842ec75,9.94,txn_WNk1I1rit7lbqxXA,2023-10-13 08:53:13,Successful
5b586ad4-7c4c-4184-9c49-c8f48cae3cfe,92368ecc-3248-4c59-8052-dcef317a87cf,17.62,txn_XzLPEAAQJBokRL0e,2020-01-15 16:55:17,Successful
2ca90b52-bf57-4472-b052-b5f794b73993,c9ce3535-1cb0-416e-a73f-ed6d685a1a43,17.56,txn_ouzh8OoW3fl4Mxyw,2023-09-18 16:48:58,Successful
6996424e-8948-498f-8255-c2fb94b959d7,3eb8c137-9a76-4f33-ac0d-d2525db605b3,15.65,txn_z96DU4yu8GsfnreG,2023-03-20 17:50:07,Successful
662ae62f-ca68-4c80-972d-b1a0bbe55a5c,cc4f522a-db07-4971-88d8-9bbf5d1b8088,13.89,txn_PQek7XtighQt0H2g,2023-07-30 19:40:40,Successful
6e226836-066c-4368-b8cb-07d1708cef03,b82aa864-9109-4bb4-9580-bb36735e1730,25.06,txn_8aI5j3QOJSnGsUTG,2023-09-06 04:46:41,Successful
66822ac8-c04d-4d11-a39c-8876e62f4dac,1b95bbdd-91eb-4746-941f-bc9337f8324f,14.4,txn_i1fywmiilNSrEuO5,2020-04-13 15:46:48,Successful
834c16e1-a498-45e5-a4fc-7f83c9dbffad,f833a3f8-c6ab-412a-96be-e201c173500d,14.01,txn_HP9sqhPOUQTJ6Iln,2020-12-09 13:42:24,Successful
6fb48b5f-bf20-4825-bdf8-17945d75a150,d1198088-b4f3-4638-85a2-22f3db39d79c,12.72,txn_FlBy7RwGz4cBmc7u,2023-09-30 12:19:49,Successful
c5dffebe-b5e5-44a9-8f73-116edaf3c60b,071a2f7e-a9fd-4933-af8b-53eb5ebefde6,16.2,txn_wIkEk5qEy5YvellS,2022-09-18 23:06:51,Successful
38280eb2-d80d-42fb-bf42-efc9d7d20fb6,cd24cb51-3927-4c8f-b0df-fcd5bef11f35,14.9,txn_GAWZHstycAPlmghY,2023-10-13 09:59:00,Successful
26c3a0cf-829e-44d3-a434-13e53c635ea9,634c353a-060e-4f77-b857-12818797e825,20.01,txn_enlXrW8u6w0iTCcA,2023-10-13 10:01:25,Successful
ce48f825-6417-411f-b91f-406099de5fdf,8a2b0f22-d87a-4845-bb96-f21d76c283e9,17.48,txn_eJlmidtckhDEiJfZ,2020-03-02 12:26:16,Successful
d057545a-9d37-4dee-8c90-7556a4110d66,40745b5f-de99-4b35-92d5-658d36782d15,13.03,txn_SEuctiA7jWX3u16I,2023-10-13 10:55:17,Successful
04e64a18-3683-471d-a479-060c95632e0d,458b0d91-946a-40e0-830a-f408223b69e2,12.29,txn_5IrUEPHurGgfcjk8,2023-10-13 09:03:48,Successful
796bd7a0-9d58-4888-91fb-d7d568153bdd,e5e4c52a-86ed-431d-930e-143203356de5,13.64,txn_rrn34GzSK8VbKlbO,2019-06-26 05:15:53,Successful
e68b205d-a1a6-450c-8e4a-a343094e8e8c,efb4e7b1-d5e3-45d0-bd86-4fc6a8cadb16,17.92,txn_ktTZUc3jAza7Njor,2023-07-24 17:49:43,Successful
a7648f8a-50c0-42cd-ba56-a4d623ddd5dc,cbb29c8c-0d1e-4f45-8b44-6cd8606023be,21.32,txn_HdaH2YBpKKn41KMA,2018-01-12 02:10:12,Successful
090f5076-12b0-42ff-8539-ec6e48b5c071,ef518029-54da-40b0-b04c-0e93f02bcb5a,17.55,txn_iJ1huRVpMjaEJHGH,2022-04-08 10:40:34,Successful
6acb05a6-b44b-4b29-9377-38ddfb854794,d73bcd47-78bb-43c4-ad12-19ea8b2e9829,15.76,txn_9eREITtIqzXO7HAq,2022-10-13 11:16:49,Successful
846555a9-d4b9-4c63-80f6-e1af0927ac72,f752b0b6-e1e9-427e-8d56-beaa55f7ae71,16.55,txn_LRv0B15urBCsZNNt,2023-06-28 13:05:06,Successful
4d9139b8-7ff8-487b-b62b-f3a150d0ed01,a0d7ed9b-26fe-44c8-85fd-83465e05fa16,13.61,txn_0hmx8q24ihMf9HsA,2023-10-13 09:52:34,Successful
8957ff4f-af6b-4099-b12b-f99df1bcaa3e,5d47d74e-133e-4f48-9020-6fcb2ce74567,14.54,txn_p97N4fyh42vx2VVl,2023-03-30 23:25:02,Successful
39175eca-b891-41c3-90d5-de400e65165e,974cb95c-0af4-4aed-9194-fc9915719b23,16.62,txn_3ljyfvKbz5WWlieo,2023-07-26 17:21:16,Successful
416bff31-e2d7-45b2-936d-9244ef138690,ee34d64f-85f8-4f50-90a8-d3721855341a,3.56,txn_acowden6N5zN4Jnk,2023-09-14 00:49:51,Successful
7a97b59d-4592-4f82-9337-1cfcce90c058,c5c0672c-57ae-4cc1-8132-16d07293b4d2,15.82,txn_o3SgsXlc70P9uRaX,2023-10-13 08:21:05,Successful
bf415d33-d824-49be-b745-f5ac798f3ad0,65072829-4824-4b26-8dfe-f78384081268,12.73,txn_TYwIS2KXm9TNofrB,2023-10-13 09:45:58,Successful
bf5f6449-8604-4f15-92bd-5f5894d562b0,c31f5b94-8527-472d-ac58-c396c12057a1,13.67,txn_scudovDLSpfa5KdE,2023-10-13 10:10:33,Successful
a0c09bdc-0afc-45ee-8f9a-4269ba8921a6,3e04dfaf-9953-49a3-9816-e7d7013df609,14.44,txn_5W5dHRWkfzsdlNyd,2023-10-13 09:56:24,Successful
0f51435b-114d-43f8-8228-6d745ffee5e2,ebd025db-cf77-43f6-ac21-3e49dd7cd25e,14.22,txn_HDAqxli43NLAfCtC,2022-01-03 17:25:00,Successful
4c04b395-d1b7-40eb-92b9-ef738268039a,562b4093-07a8-4009-a5ed-7a0e0db651bb,14.27,txn_QgReU1bRFzntFXXz,2022-05-07 01:51:23,Successful
0945c33d-f4f2-49bd-a837-a2118bbb9ad3,e6cf6091-9a7b-4c3d-8ae1-f7280fa7ff79,11.96,txn_JFsdBG5tdUv932oB,2023-01-05 18:14:46,Successful
e31c94e6-0ac4-4968-9a98-c43957232540,9e405c8a-c009-478b-8a5b-fc4ad36b6643,15.47,txn_dGEZOtk7Hiy8Gbh9,2023-10-13 09:22:59,Successful
ff09a5ca-25ab-4b05-979d-66e4e9ebb9e0,bf7c12ea-3103-455c-a9d0-8490e45eb1e1,8.93,txn_3qJhex2au2JyqwQc,2021-08-24 09:21:24,Successful
0e6944ca-061b-488d-a124-f602fdafaa26,dd67dadf-c51f-4b5c-8a50-9f97ef0024c2,12.16,txn_2FDxZhpcRLojJ4Wt,2023-10-13 10:23:20,Successful
7756d3a2-5b60-4f2f-80e4-6190abf914da,b92f1c4c-74a0-4337-82d7-f4dd018bc622,12.78,txn_7bxrzeBOe7qAob6V,2023-09-04 01:53:14,Successful
e6a4a3fe-a13d-434c-904f-50f59e4141a8,a2176679-3142-49ba-a7c4-0ef7ad70b637,14.76,txn_zZD2Rhe3kw2yByDa,2023-02-11 17:06:49,Successful
4021a9c5-de11-4953-88a5-b6f39c22fce4,e3188fbd-b0a3-49aa-a290-41d1f9cc9261,12.87,txn_zVSXnEON6DsuZRDg,2022-07-17 01:09:42,Successful
8833831c-7b81-42c9-b9c1-443caee56a53,82add3ea-fc9f-4565-90bb-b52b5ce340f2,5.38,txn_J6INM1dG4opk79mI,2018-06-07 12:27:38,Successful
7fe750f1-8577-4d89-8826-d01c90918920,fc36094a-6ad3-41dc-ab7f-50040bc7d0ee,16.87,txn_OklaCsgP5AIJwXHF,2023-05-06 22:06:06,Successful
79d75e6e-1feb-4a8e-9e02-1b65b0cbe6ad,c19985e9-43b7-4b78-be49-d1e27c8a49ed,14.36,txn_SEZWHxmZpsncVJfX,2022-01-31 01:00:25,Successful
f02986f8-0d10-4295-bca4-07474c9e203b,64749f57-86b9-42f1-bb6d-a06ad7dbfcb5,15.19,txn_ljQeegR2IYJ4TjJ6,2018-08-18 12:23:48,Successful
c5363202-01af-4884-98a7-8c2fabc7792f,7c31cd0f-d29f-4897-82c2-cb7bed6092ed,9.56,txn_bUfBI4iJfWac8vJJ,2023-10-13 10:16:30,Successful
fc049cd3-3411-40db-b306-9a775af6fa46,f9b37093-dd2a-4929-bc60-9f3488d3809d,6.48,txn_0GJqDYkOPFUpefWQ,2023-07-05 12:58:03,Successful
307b402b-f2d3-496a-957e-ef8f815ed7b0,6eecc6cc-ad1b-4393-bf65-2546f4738b0a,11.8,txn_UrlGB6WTEW9dzQy0,2023-10-13 09:54:50,Successful
4a611b87-f762-45b4-ab7b-925a3d249b85,321f1b91-b6b3-4c7a-bde0-394c685fc61c,17.29,txn_eKuTNdsGGejud3PU,2022-10-20 11:28:19,Successful
760cae52-3ecd-4692-85f9-54968b459488,06718ffe-a3b9-4b59-8f09-3632afdb4ae8,14.52,txn_WnicUYBJWwwTjbGo,2021-12-12 06:35:59,Successful
05683002-c8d2-48a2-8f0b-d0ea42739e0c,b7ed78a0-fd77-4148-81e5-480c91f553f9,13.86,txn_sY3EwfYZoxYxeEOf,2023-01-28 15:43:16,Successful
f24e5fe4-247b-44fa-a123-08bbcdd822f9,8ae4ed3d-2a2c-44c4-a990-b322af717567,13.21,txn_YlfvhlxuFZkvHpCq,2022-04-06 12:49:44,Successful
3f3d9e44-1570-4420-9ff0-4a2112e99d66,f752b0b6-e1e9-427e-8d56-beaa55f7ae71,17.18,txn_tNHxnh9GFFV2FrVf,2023-10-13 08:40:21,Successful
5adc3fc2-1151-4702-a21c-6187c1917fc3,4f9d39ea-c544-4366-b9c0-9c8a198ca8bf,12.33,txn_TBkzwgYIzxb8aoYH,2023-07-21 18:49:39,Successful
45b4b7ce-b843-4db0-a4a7-aa8b0fef93ea,f7b28fab-5688-4f8b-9177-81b619b5f6d7,21.8,txn_OWf7hxv0JTy3Unyw,2021-10-25 16:40:31,Successful
c5d7192d-a103-4c97-a7bd-ea5f4c4197a6,ebcc4801-010a-4f02-9ff6-327c590398e4,17.57,txn_ignyZ372tpL7c2JH,2022-02-09 03:36:09,Successful
eb9cc24c-3ee3-429d-a24e-231fac49ac98,b82aa864-9109-4bb4-9580-bb36735e1730,20.97,txn_2IBNd8sv62Svs2j4,2022-03-22 01:59:40,Successful
