VehicleId,LicensePlate,Status,LastService,Latitude,Longitude,Model,Make,LastTime
64f62bff-5caa-443a-b266-7eb1c88b15f1,VO38CFS,UnderRepair,2020-10-13 02:18:04,51.58465474996953,-0.22907483721731117,Land Cruiser,BMW,2023-10-06 17:34:00
8bae2418-cac8-4de5-891c-dc187eff6464,TM56TTK,Vacant,2020-04-11 10:53:36,51.5743410939805,-0.23744477944726808,Lanos,Dodge,2023-10-05 12:45:12
70524e7d-7142-43a4-938e-45c2e9d47ef0,RG55JLV,Vacant,2021-08-25 16:53:39,51.472701241822364,-0.20090796538706857,H3T,Jeep,2023-10-08 03:32:57
911ef4ae-176b-436e-a1ec-80af841fc37a,WX26 SOA,UnderRepair,2022-08-19 02:25:43,51.413872052596346,-0.0593342249956387,Sentra,Cadillac,2023-10-03 08:06:22
3e279a0c-3e7e-4a80-90c5-9e2049e6f155,OF61 UQO,Vacant,2023-05-19 13:56:37,51.45161201868966,-0.044657085744743585,Regal,Dodge,2023-10-10 10:26:43
9f8bfa8f-d096-4f24-8f21-de890d88c0f9,QG54 IMP,Vacant,2022-12-19 13:30:30,51.442889207261786,-0.12465289461002452,Yukon,Lexus,2023-10-11 19:05:01
28d2299d-03fe-4f17-a3c0-db3e26eda416,AX16 FDX,Vacant,2019-11-24 22:29:12,51.51756128421462,-0.16073617914637783,X6 M,Mercedes-Benz,2023-10-02 00:38:13
cb21ebb5-0213-401e-af9f-d00561fea389,PN11DLN,Vacant,2020-09-27 09:02:44,51.41064110612707,-0.21830275503810237,Mercedes-AMG GLA,HUMMER,2023-10-06 06:29:44
f15d9240-d894-4637-9e9d-63ac4d8d43c0,TN92VUK,Busy,2022-05-04 18:07:55,51.49543812035442,-0.22150100001161335,3500 Extended Cab,Acura,2023-10-03 16:57:52
1c687048-48d7-4250-a977-ce0b7816a236,AE22 IPW,UnderRepair,2020-02-22 21:04:27,51.504516027722566,-0.19925224325411134,Silverado 1500 Regular Cab,Volkswagen,2023-10-08 11:50:33
cf65314d-c01a-4aad-a202-bdca60eb9ffa,TM21 GQV,Vacant,2019-11-28 10:31:51,51.39260349210185,-0.18828788775879898,Savana 1500 Cargo,MINI,2023-10-01 07:22:37
6ae0c421-ea7f-47c7-94e9-3b34d694bfa3,DL34 QJU,UnderRepair,2022-10-25 04:09:59,51.533463009754506,-0.05256285415864115,allroad,GMC,2023-10-01 19:09:38
fbbf935d-e09f-4728-bf84-7636711cba3e,EE95 VUA,UnderRepair,2023-08-29 16:45:57,51.52099632314361,-0.07227039312519798,F250 Regular Cab,Dodge,2023-10-02 20:22:40
20139c28-a2a9-469b-9218-b97f15900ecf,FA62 OQZ,Vacant,2022-09-03 22:04:19,51.39920962737369,-0.04810719870108224,Montero,Kia,2023-10-10 07:56:33
4db4bbbc-ed1a-4c45-80ff-6b954675ef67,VD87 AYA,Vacant,2022-06-11 03:13:09,51.56503700635748,-0.1572200065995933,Savana 2500 Cargo,smart,2023-10-07 00:18:25
12f5dc9f-98d2-4f0d-a0c6-8d4edcf308c5,JX80 RUT,Busy,2019-11-03 04:36:06,51.57851906647336,-0.23714774808544872,LEAF,Honda,2023-10-10 07:32:57
79dd6a77-bc83-459e-a319-61c93062f7e1,PV49XCB,UnderRepair,2023-05-29 00:37:30,51.552946401581394,-0.1700957022211103,Montero,Buick,2023-10-04 17:04:55
e8ca338c-3241-4fb4-aa90-fa36eea31b89,JE02ATG,UnderRepair,2021-11-15 02:37:01,51.56292414499293,-0.09620612481491875,Sprinter 2500 Passenger,GMC,2023-10-04 07:45:53
b168874a-e18b-4496-b0dc-785c2e488e43,WZ87PQA,Busy,2019-12-16 00:39:04,51.4679289745042,-0.19540117011213962,Yukon XL 1500,Aston Martin,2023-10-09 04:24:51
81955e4c-ad30-44f5-a01b-181575678a27,UH41 KBZ,Busy,2020-10-10 16:10:17,51.464932558222536,-0.1299108062335413,Montero Sport,Dodge,2023-10-08 04:06:15
e8cf9541-bf39-46f9-abba-884571b2c0e7,SD22 LGX,Busy,2022-09-06 13:29:44,51.533611688972265,-0.21158458667140384,Captiva Sport,Honda,2023-10-12 01:57:22
d5f7c70d-923f-4f83-b4ad-163593c237ab,EQ21 SYY,Vacant,2020-11-10 17:06:41,51.57963337936703,-0.054751930239583885,Silverado (Classic) 2500 HD Regular Cab,Nissan,2023-10-04 02:21:43
77ae37f4-d025-45a4-bd9c-3b820d94a020,JG07 UFY,Vacant,2023-05-03 21:41:16,51.41015857383798,-0.2258942898532045,GS,Honda,2023-10-03 21:02:52
b837e10a-bc79-4faf-86c0-aa69dd79b15b,DP48LPJ,UnderRepair,2022-01-16 18:44:21,51.39018732861249,-0.08805187663096847,Metro,Chrysler,2023-10-03 18:47:12
